# Time-averaged data for fix 4
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
35100 100
63 5 1.21969 24.6025
64 5.08 1.18113 25.9295
65 5.16 1.27333 27.4055
66 5.24 1.24688 28.896
67 5.32 1.25714 30.445
68 5.4 1.23474 32.0125
69 5.48 1.22573 33.615
70 5.56 1.23492 35.277
71 5.64 1.19688 36.9345
72 5.72 1.14995 38.5725
73 5.8 1.14781 40.2535
74 5.88 1.12509 41.947
75 5.96 1.07731 43.613
76 6.04 1.06029 45.297
77 6.12 1.06587 47.035
78 6.2 1.07589 48.8355
79 6.28 1.01313 50.575
80 6.36 1.03436 52.3965
81 6.44 1.04676 54.2865
82 6.52 1.01475 56.1645
83 6.6 1.00928 58.0785
84 6.68 1.01434 60.049
85 6.76 1.01234 62.063
86 6.84 1.00009 64.1
87 6.92 1.01475 66.2155
88 7 1.04044 68.435
89 7.08 1.00767 70.634
90 7.16 1.02941 72.9315
91 7.24 1.05937 75.349
92 7.32 1.04899 77.796
93 7.4 1.05265 80.3055
94 7.48 1.05755 82.8815
95 7.56 1.06865 85.5405
96 7.64 1.07551 88.2735
97 7.72 1.08224 91.0815
98 7.8 1.093 93.9765
99 7.88 1.12178 97.009
100 7.96 1.09482 100.029
35800 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0.0141768 0.002
24 1.88 0.0194941 0.005
25 1.96 0.023914 0.009
26 2.04 0.0634667 0.0205
27 2.12 0.10476 0.041
28 2.2 0.170834 0.077
29 2.28 0.273931 0.139
30 2.36 0.387638 0.233
31 2.44 0.588322 0.3855
32 2.52 0.882503 0.6295
33 2.6 2.31043 1.3095
34 2.68 2.88769 2.2125
35 2.76 3.30013 3.307
36 2.84 3.2279 4.4405
37 2.92 2.48776 5.364
38 3 1.85154 6.0895
39 3.08 1.61739 6.7575
40 3.16 1.45028 7.388
41 3.24 1.31391 7.9885
42 3.32 1.17633 8.553
43 3.4 0.959695 9.036
44 3.48 0.941685 9.5325
45 3.56 0.914338 10.037
46 3.64 0.922264 10.569
47 3.72 0.858128 11.086
48 3.8 0.787383 11.581
49 3.88 0.81094 12.1125
50 3.96 0.851743 12.694
51 4.04 0.817642 13.275
52 4.12 0.845062 13.8995
53 4.2 0.850287 14.5525
54 4.28 0.88839 15.261
55 4.36 0.957587 16.0535
56 4.44 0.985727 16.8995
57 4.52 0.993867 17.7835
58 4.6 1.04427 18.7455
59 4.68 1.05921 19.7555
60 4.76 1.09082 20.8315
61 4.84 1.1433 21.9975
62 4.92 1.13964 23.1985
63 5 1.22382 24.5305
64 5.08 1.25545 25.941
65 5.16 1.24141 27.38
66 5.24 1.24688 28.8705
67 5.32 1.219 30.3725
68 5.4 1.26704 31.981
69 5.48 1.24561 33.6095
70 5.56 1.23083 35.266
71 5.64 1.18208 36.903
72 5.72 1.17101 38.571
73 5.8 1.13893 40.239
74 5.88 1.08589 41.8735
75 5.96 1.10641 43.5845
76 6.04 1.06218 45.2715
77 6.12 1.05299 46.9885
78 6.2 1.02868 48.71
79 6.28 1.0437 50.502
80 6.36 1.05339 52.357
81 6.44 1.03403 54.224
82 6.52 1.01988 56.1115
83 6.6 1.01113 58.029
84 6.68 1.01485 60.0005
85 6.76 1.00781 62.0055
86 6.84 1.00721 64.057
87 6.92 1.01883 66.181
88 7 1.03294 68.3845
89 7.08 1.02348 70.618
90 7.16 1.06615 72.9975
91 7.24 1.00942 75.301
92 7.32 1.05371 77.759
93 7.4 1.02874 80.2115
94 7.48 1.06515 82.806
95 7.56 1.07448 85.4795
96 7.64 1.07196 88.2035
97 7.72 1.08031 91.0065
98 7.8 1.11263 93.9535
99 7.88 1.10088 96.9295
100 7.96 1.10442 99.976
35900 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0.00426934 0.0005
22 1.72 0 0.0005
23 1.8 0.00708839 0.0015
24 1.88 0.0259922 0.0055
25 1.96 0.0388602 0.012
26 2.04 0.0689855 0.0245
27 2.12 0.135421 0.051
28 2.2 0.173206 0.0875
29 2.28 0.223121 0.138
30 2.36 0.3897 0.2325
31 2.44 0.55746 0.377
32 2.52 0.904204 0.627
33 2.6 2.28834 1.3005
34 2.68 2.74698 2.1595
35 2.76 3.41622 3.2925
36 2.84 3.14816 4.398
37 2.92 2.54029 5.341
38 3 1.92938 6.097
39 3.08 1.68034 6.791
40 3.16 1.39277 7.3965
41 3.24 1.33469 8.0065
42 3.32 1.07527 8.5225
43 3.4 1.0193 9.0355
44 3.48 0.949272 9.536
45 3.56 0.89259 10.0285
46 3.64 0.903195 10.5495
47 3.72 0.873066 11.0755
48 3.8 0.76909 11.559
49 3.88 0.819331 12.096
50 3.96 0.812928 12.651
51 4.04 0.863379 13.2645
52 4.12 0.850474 13.893
53 4.2 0.880236 14.569
54 4.28 0.872089 15.2645
55 4.36 0.931004 16.035
56 4.44 0.951355 16.8515
57 4.52 0.994991 17.7365
58 4.6 1.06652 18.719
59 4.68 1.06079 19.7305
60 4.76 1.07713 20.793
61 4.84 1.18155 21.998
62 4.92 1.16289 23.2235
63 5 1.20499 24.535
64 5.08 1.25768 25.948
65 5.16 1.20216 27.3415
66 5.24 1.27365 28.864
67 5.32 1.25227 30.407
68 5.4 1.24104 31.9825
69 5.48 1.24561 33.611
70 5.56 1.22674 35.262
71 5.64 1.19183 36.9125
72 5.72 1.20155 38.624
73 5.8 1.11879 40.2625
74 5.88 1.10084 41.9195
75 5.96 1.06761 43.5705
76 6.04 1.06029 45.2545
77 6.12 1.0625 46.987
78 6.2 1.05587 48.754
79 6.28 1.00322 50.4765
80 6.36 1.03493 52.299
81 6.44 1.05119 54.197
82 6.52 1.01637 56.078
83 6.6 1.0019 57.978
84 6.68 1.03261 59.984
85 6.76 1.02189 62.017
86 6.84 1.02316 64.101
87 6.92 0.984293 66.153
88 7 1.02919 68.3485
89 7.08 1.03058 70.5975
90 7.16 1.0209 72.876
91 7.24 1.05652 75.287
92 7.32 1.05606 77.7505
93 7.4 1.06649 80.293
94 7.48 1.07336 82.9075
95 7.56 1.05579 85.5345
96 7.64 1.08534 88.2925
97 7.72 1.04408 91.0015
98 7.8 1.11131 93.945
