# Time-averaged data for fix 5
# TimeStep c_msd[4]
45080 154.154
45090 154.135
45100 154.11
45110 154.09
45120 154.083
45130 154.101
45140 154.124
45150 154.14
45160 154.123
45170 154.111
45180 154.123
45190 154.14
45200 154.142
45210 154.141
45220 154.144
45230 154.14
45240 154.136
45250 154.11
45260 154.078
45270 154.061
45280 154.052
45290 154.066
45300 154.095
45310 154.126
45320 154.142
45330 154.148
45340 154.161
45350 154.187
45360 154.198
45370 154.189
45380 154.157
45390 154.145
45400 154.157
45410 154.17
45420 154.183
45430 154.184
45440 154.18
45450 154.17
45460 154.167
45470 154.153
45480 154.151
45490 154.157
45500 154.17
45510 154.179
45520 154.193
45530 154.213
45540 154.226
45550 154.232
45560 154.245
45570 154.253
45580 154.262
45590 154.274
45600 154.289
45610 154.316
45620 154.347
45630 154.366
45640 154.39
45650 154.416
45660 154.455
45670 154.487
45680 154.492
45690 154.477
45700 154.432
45710 154.387
45720 154.381
45730 154.39
45740 154.405
45750 154.416
45760 154.424
45770 154.423
45780 154.42
45790 154.432
45800 154.455
45810 154.453
45820 154.431
45830 154.403
45840 154.387
45850 154.385
45860 154.382
45870 154.386
45880 154.382
45890 154.356
45900 154.339
45910 154.34
45920 154.347
45930 154.341
45940 154.341
45950 154.362
45960 154.377
45970 154.381
45980 154.377
45990 154.373
46000 154.363
46010 154.359
46020 154.376
46030 154.397
46040 154.376
46050 154.353
46060 154.333
46070 154.338
46080 154.326
46090 154.321
46100 154.334
46110 154.346
46120 154.357
46130 154.361
46140 154.37
46150 154.39
46160 154.412
46170 154.432
46180 154.444
46190 154.441
46200 154.456
46210 154.472
46220 154.498
46230 154.517
46240 154.531
46250 154.547
46260 154.553
46270 154.556
46280 154.549
46290 154.547
46300 154.521
46310 154.492
46320 154.471
46330 154.458
46340 154.453
46350 154.448
46360 154.454
46370 154.474
46380 154.472
46390 154.467
46400 154.474
46410 154.477
46420 154.499
46430 154.486
46440 154.456
46450 154.439
46460 154.423
46470 154.437
46480 154.439
46490 154.44
46500 154.45
46510 154.465
46520 154.49
46530 154.518
46540 154.556
46550 154.581
46560 154.58
46570 154.581
46580 154.595
46590 154.605
46600 154.597
46610 154.591
46620 154.592
46630 154.578
46640 154.567
46650 154.561
46660 154.558
46670 154.547
46680 154.543
46690 154.55
46700 154.553
46710 154.546
46720 154.546
46730 154.548
46740 154.553
46750 154.565
46760 154.57
46770 154.573
46780 154.571
46790 154.575
46800 154.584
46810 154.57
46820 154.559
46830 154.558
46840 154.566
46850 154.578
46860 154.584
46870 154.582
46880 154.594
46890 154.614
46900 154.616
46910 154.628
46920 154.642
46930 154.652
46940 154.652
46950 154.628
46960 154.591
46970 154.563
46980 154.559
46990 154.567
47000 154.58
47010 154.58
47020 154.59
47030 154.593
47040 154.603
47050 154.627
47060 154.662
47070 154.704
47080 154.743
47090 154.764
47100 154.752
47110 154.726
47120 154.703
47130 154.691
47140 154.698
47150 154.701
47160 154.717
47170 154.74
47180 154.746
47190 154.757
47200 154.775
47210 154.79
47220 154.803
47230 154.798
47240 154.783
47250 154.77
47260 154.767
47270 154.784
47280 154.796
47290 154.813
47300 154.83
47310 154.847
47320 154.846
47330 154.842
47340 154.833
47350 154.844
47360 154.846
47370 154.822
47380 154.794
47390 154.779
47400 154.787
47410 154.804
47420 154.81
47430 154.812
47440 154.839
47450 154.877
47460 154.903
47470 154.914
47480 154.916
47490 154.924
47500 154.934
47510 154.946
47520 154.952
47530 154.94
47540 154.933
47550 154.925
47560 154.93
47570 154.927
47580 154.929
47590 154.934
47600 154.927
47610 154.91
47620 154.896
47630 154.908
47640 154.909
47650 154.901
47660 154.872
47670 154.845
47680 154.828
47690 154.833
47700 154.841
47710 154.847
47720 154.864
47730 154.875
47740 154.869
47750 154.864
47760 154.862
47770 154.865
47780 154.88
47790 154.884
47800 154.89
47810 154.892
47820 154.884
47830 154.876
47840 154.869
47850 154.872
47860 154.856
47870 154.868
47880 154.894
47890 154.911
47900 154.927
47910 154.927
47920 154.929
47930 154.927
47940 154.905
47950 154.894
47960 154.888
47970 154.915
47980 154.933
47990 154.956
48000 154.99
48010 155.025
48020 155.046
48030 155.057
48040 155.055
48050 155.054
48060 155.049
48070 155.046
48080 155.041
48090 155.054
48100 155.064
48110 155.052
48120 155.037
48130 155.039
48140 155.043
48150 155.056
48160 155.062
48170 155.059
48180 155.044
48190 155.034
48200 155.035
48210 155.027
48220 155.013
48230 154.999
48240 154.983
48250 154.978
48260 154.985
48270 154.994
48280 154.996
48290 155.014
48300 155.028
48310 155.043
48320 155.053
48330 155.048
48340 155.051
48350 155.065
48360 155.07
48370 155.054
48380 155.027
48390 155.024
48400 155.047
48410 155.077
48420 155.071
48430 155.063
48440 155.064
48450 155.078
48460 155.089
48470 155.096
48480 155.113
48490 155.122
48500 155.142
48510 155.166
48520 155.184
48530 155.187
48540 155.175
48550 155.161
48560 155.156
48570 155.156
48580 155.151
48590 155.153
48600 155.175
48610 155.197
48620 155.205
48630 155.193
48640 155.194
48650 155.196
48660 155.232
48670 155.259
48680 155.257
48690 155.247
48700 155.243
48710 155.258
48720 155.282
48730 155.29
48740 155.302
48750 155.3
48760 155.292
48770 155.283
48780 155.284
48790 155.271
48800 155.265
48810 155.261
48820 155.257
48830 155.258
48840 155.257
48850 155.267
48860 155.253
48870 155.223
48880 155.197
48890 155.179
48900 155.184
48910 155.221
48920 155.261
48930 155.288
48940 155.32
48950 155.318
48960 155.32
48970 155.329
48980 155.326
48990 155.318
49000 155.331
49010 155.339
49020 155.32
49030 155.302
49040 155.308
49050 155.306
49060 155.313
49070 155.323
49080 155.343
49090 155.388
49100 155.412
49110 155.413
49120 155.395
49130 155.375
49140 155.353
49150 155.347
49160 155.359
49170 155.368
49180 155.391
49190 155.4
49200 155.409
49210 155.415
49220 155.423
49230 155.433
49240 155.436
49250 155.456
49260 155.467
49270 155.483
49280 155.491
49290 155.477
49300 155.46
49310 155.439
49320 155.425
49330 155.432
49340 155.452
49350 155.458
49360 155.449
49370 155.447
49380 155.472
49390 155.502
49400 155.52
49410 155.531
49420 155.551
49430 155.559
49440 155.564
49450 155.573
49460 155.572
49470 155.579
49480 155.57
49490 155.546
49500 155.529
49510 155.533
49520 155.533
49530 155.523
49540 155.507
49550 155.494
49560 155.484
49570 155.477
49580 155.479
49590 155.472
49600 155.463
49610 155.452
49620 155.447
49630 155.454
49640 155.456
49650 155.454
49660 155.462
49670 155.49
49680 155.511
49690 155.522
49700 155.534
49710 155.558
49720 155.583
49730 155.589
49740 155.591
49750 155.59
